,Cities,Bedrooms,Bathrooms,Living Space (SQ FT),Price,Zestimate
347,Dallas,NaN,NaN,NaN,75000.0,NaN
348,Dallas,3.0,3.0,2680.0,980000.0,980003
349,Dallas,1.0,1.0,608.0,90000.0,88144
350,Dallas,3.0,2.0,1768.0,639900.0,639901
351,Dallas,3.0,2.0,1702.0,549000.0,554545
352,Dallas,3.0,2.0,1379.0,200000.0,200909
353,Dallas,3.0,2.0,1620.0,765000.0,765005
354,Dallas,4.0,2.0,1825.0,315000.0,315000
355,Dallas,4.0,3.0,2154.0,275000.0,275002
356,Dallas,4.0,3.0,3066.0,649000.0,649002
357,Dallas,3.0,1.0,782.0,225000.0,224250
358,Dallas,2.0,1.0,1166.0,319000.0,319002
359,Dallas,4.0,3.0,2084.0,479900.0,479904
360,Fredericksburg,3.0,2.0,1594.0,775000.0,731132
361,Fredericksburg,4.0,3.0,2775.0,999750.0,990993
362,Fredericksburg,NaN,NaN,NaN,899000.0,NaN
363,Fredericksburg,NaN,NaN,NaN,1600000.0,NaN
364,Fredericksburg,4.0,3.0,2051.0,589900.0,NaN
365,Fredericksburg,NaN,NaN,NaN,650000.0,NaN
366,Fredericksburg,NaN,NaN,NaN,350000.0,NaN
367,Fredericksburg,4.0,3.0,2831.0,969900.0,961404
368,Fredericksburg,NaN,NaN,NaN,7250000.0,NaN
369,Fredericksburg,5.0,4.0,4535.0,4975000.0,4917809
370,Fredericksburg,3.0,3.0,2466.0,775000.0,737842
371,Fredericksburg,3.0,2.0,1120.0,675000.0,636792
372,Fredericksburg,2.0,2.0,1221.0,1199000.0,1160000
373,Fredericksburg,4.0,3.0,3000.0,750000.0,714041
374,Fredericksburg,3.0,3.0,2551.0,1600000.0,1577011
375,Fredericksburg,1.0,1.0,609.0,339000.0,NaN
376,Fredericksburg,NaN,NaN,NaN,680000.0,NaN
377,Fredericksburg,NaN,NaN,NaN,1495000.0,NaN
378,Harper,NaN,NaN,NaN,3825000.0,NaN
379,Fredericksburg,NaN,NaN,0.0,507500.0,469900
380,Galveston,3.0,2.0,1366.0,318000.0,311424
381,Galveston,3.0,2.0,1459.0,520000.0,513100
382,Galveston,5.0,5.0,3001.0,550000.0,NaN
383,Galveston,4.0,3.0,2170.0,1290000.0,1235338
384,Galveston,4.0,3.0,2096.0,649900.0,643561
385,Galveston,4.0,3.0,NaN,687585.0,666800
386,Galveston,4.0,2.0,1522.0,267900.0,263254
387,Galveston,NaN,0.0,NaN,89900.0,NaN
388,Galveston,3.0,3.0,1980.0,259000.0,252784
389,Galveston,NaN,0.0,NaN,245000.0,NaN
390,Galveston,2.0,2.0,712.0,289982.0,283537
391,Galveston,3.0,2.0,1544.0,349000.0,354706
392,Galveston,2.0,2.0,1076.0,185000.0,184273
393,Galveston,NaN,0.0,NaN,499900.0,NaN
394,Galveston,3.0,3.0,2172.0,740895.0,723326
395,Galveston,1.0,1.0,757.0,139500.0,137640
396,Galveston,4.0,4.0,2000.0,535000.0,528885
397,Galveston,2.0,3.0,1296.0,650000.0,638792
398,Galveston,3.0,3.0,1717.0,599000.0,587975
399,Galveston,3.0,2.0,1427.0,549000.0,540839
